Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
IBZ06 Index,2006-12-15,2006-12-15,12/18/06,2006-12-18,14403.5
IBF07 Index,2007-01-19,2007-01-19,01/22/07,2007-01-22,14364.9
IBG07 Index,2007-02-16,2007-02-16,02/19/07,2007-02-19,14831.3
IBH07 Index,2007-03-16,2007-03-16,03/19/07,2007-03-19,13988.7
IBJ07 Index,2007-04-20,2007-04-20,04/23/07,2007-04-23,15111.1
IBK07 Index,2007-05-18,2007-05-18,05/21/07,2007-05-21,15097.9
IBM07 Index,2007-06-15,2007-06-15,06/18/07,2007-06-18,15243.4
IBN07 Index,2007-07-20,2007-07-20,07/23/07,2007-07-23,14967.7
IBQ07 Index,2007-08-17,2007-08-17,08/20/07,2007-08-20,14244.0
IBU07 Index,2007-09-21,2007-09-21,09/24/07,2007-09-24,14462.7
IBV07 Index,2007-10-19,2007-10-19,10/22/07,2007-10-22,15566.1
IBX07 Index,2007-11-16,2007-11-16,11/19/07,2007-11-19,15744.3
IBZ07 Index,2007-12-21,2007-12-21,12/27/07,2007-12-27,15294.1
IBF08 Index,2008-01-18,2008-01-18,01/19/08,2008-01-19,13967.5
IBG08 Index,2008-02-15,2008-02-15,02/16/08,2008-02-16,13090.3
IBH08 Index,2008-03-20,2008-03-20,03/25/08,2008-03-25,13016.8
IBJ08 Index,2008-04-18,2008-04-18,04/21/08,2008-04-21,13903.4
IBK08 Index,2008-05-16,2008-05-16,05/19/08,2008-05-19,14159.7
IBM08 Index,2008-06-20,2008-06-20,06/23/08,2008-06-23,12367.7
IBN08 Index,2008-07-18,2008-07-18,07/21/08,2008-07-21,11785.7
IBQ08 Index,2008-08-15,2008-08-15,08/18/08,2008-08-18,11664.0
IBU08 Index,2008-09-19,2008-09-19,09/22/08,2008-09-22,11401.1
IBV08 Index,2008-10-17,2008-10-17,10/20/08,2008-10-20,9550.4
IBX08 Index,2008-11-21,2008-11-21,11/24/08,2008-11-24,8022.9
IBZ08 Index,2008-12-19,2008-12-19,12/22/08,2008-12-22,9294.5
IBF09 Index,2009-01-16,2009-01-16,01/19/09,2009-01-19,8749.2
IBG09 Index,2009-02-20,2009-02-20,02/21/09,2009-02-21,7648.9
IBH09 Index,2009-03-20,2009-03-20,03/23/09,2009-03-23,7656.8
IBJ09 Index,2009-04-17,2009-04-17,04/20/09,2009-04-20,8943.1
IBK09 Index,2009-05-15,2009-05-15,05/18/09,2009-05-18,8987.7
IBM09 Index,2009-06-19,2009-06-19,06/22/09,2009-06-22,9554.6
IBN09 Index,2009-07-17,2009-07-17,07/20/09,2009-07-20,10089.7
IBQ09 Index,2009-08-21,2009-08-21,08/24/09,2009-08-24,11168.6
IBU09 Index,2009-09-18,2009-09-18,09/21/09,2009-09-21,11809.7
IBV09 Index,2009-10-16,2009-10-16,10/19/09,2009-10-19,11649.0
IBX09 Index,2009-11-20,2009-11-20,11/23/09,2009-11-23,11756.9
IBZ09 Index,2009-12-18,2009-12-18,12/21/09,2009-12-21,11724.7
IBF10 Index,2010-01-15,2010-01-15,01/16/10,2010-01-16,11900.8
IBG10 Index,2010-02-19,2010-02-19,02/20/10,2010-02-20,10599.1
IBH10 Index,2010-03-19,2010-03-19,03/22/10,2010-03-22,10957.1
IBJ10 Index,2010-04-16,2010-04-16,04/19/10,2010-04-19,11444.7
IBK10 Index,2010-05-21,2010-05-21,05/24/10,2010-05-24,9265.8
IBM10 Index,2010-06-18,2010-06-18,06/21/10,2010-06-21,9983.6
IBN10 Index,2010-07-16,2010-07-16,07/19/10,2010-07-19,10016.9
IBQ10 Index,2010-08-20,2010-08-20,08/23/10,2010-08-23,10128.6
IBU10 Index,2010-09-17,2010-09-17,09/20/10,2010-09-20,10589.5
IBV10 Index,2010-10-15,2010-10-15,10/18/10,2010-10-18,10816.2
IBX10 Index,2010-11-19,2010-11-19,11/22/10,2010-11-22,10184.5
IBZ10 Index,2010-12-17,2010-12-17,12/20/10,2010-12-20,9903.0
IBF11 Index,2011-01-21,2011-01-21,01/24/11,2011-01-24,10915.6
IBG11 Index,2011-02-18,2011-02-18,02/21/11,2011-02-21,11063.8
IBH11 Index,2011-03-18,2011-03-18,03/21/11,2011-03-21,10367.2
IBJ11 Index,2011-04-15,2011-04-15,04/18/11,2011-04-18,10510.4
IBK11 Index,2011-05-20,2011-05-20,05/23/11,2011-05-23,10225.0
IBM11 Index,2011-06-17,2011-06-17,06/20/11,2011-06-20,10125.7
IBN11 Index,2011-07-15,2011-07-15,07/18/11,2011-07-18,9467.0
IBQ11 Index,2011-08-19,2011-08-19,08/22/11,2011-08-22,8166.6
IBU11 Index,2011-09-16,2011-09-16,09/19/11,2011-09-19,8374.0
IBV11 Index,2011-10-21,2011-10-21,10/24/11,2011-10-24,8871.9
IBX11 Index,2011-11-18,2011-11-18,11/21/11,2011-11-21,8303.3
IBZ11 Index,2011-12-16,2011-12-16,12/19/11,2011-12-19,8204.1
IBF12 Index,2012-01-20,2012-01-20,01/23/12,2012-01-23,8569.3
IBG12 Index,2012-02-17,2012-02-17,02/20/12,2012-02-20,8671.4
IBH12 Index,2012-03-16,2012-03-16,03/20/12,2012-03-20,8454.1
IBJ12 Index,2012-04-20,2012-04-20,04/23/12,2012-04-23,7029.4
IBK12 Index,2012-05-18,2012-05-18,05/21/12,2012-05-21,6530.8
IBM12 Index,2012-06-15,2012-06-15,06/18/12,2012-06-18,6678.7
IBN12 Index,2012-07-20,2012-07-20,07/23/12,2012-07-23,6285.4
IBQ12 Index,2012-08-17,2012-08-17,08/20/12,2012-08-20,7562.7
IBU12 Index,2012-09-21,2012-09-21,09/24/12,2012-09-24,8182.1
IBV12 Index,2012-10-19,2012-10-19,10/22/12,2012-10-22,7928.3
IBX12 Index,2012-11-16,2012-11-16,11/19/12,2012-11-19,7599.8
IBZ12 Index,2012-12-21,2012-12-21,12/24/12,2012-12-24,8231.2
IBF13 Index,2013-01-18,2013-01-18,01/21/13,2013-01-21,8617.3
IBG13 Index,2013-02-15,2013-02-15,02/18/13,2013-02-18,8190.8
IBH13 Index,2013-03-15,2013-03-15,03/18/13,2013-03-18,8601.1
IBJ13 Index,2013-04-19,2013-04-19,04/22/13,2013-04-22,7876.6
IBK13 Index,2013-05-17,2013-05-17,05/20/13,2013-05-20,8565.7
IBM13 Index,2013-06-21,2013-06-21,06/24/13,2013-06-24,7718.6
IBN13 Index,2013-07-19,2013-07-19,07/22/13,2013-07-22,7916.1
IBQ13 Index,2013-08-16,2013-08-16,08/19/13,2013-08-19,8792.6
IBU13 Index,2013-09-20,2013-09-20,09/23/13,2013-09-23,9161.8
IBV13 Index,2013-10-18,2013-10-18,10/21/13,2013-10-21,9986.1
