Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
BEV06 Index,2006-10-20,2006-10-20,10/23/06,2006-10-23,4165.69
BEX06 Index,2006-11-17,2006-11-17,11/20/06,2006-11-20,4217.42
BEZ06 Index,2006-12-15,2006-12-15,12/18/06,2006-12-18,4344.67
BEF07 Index,2007-01-19,2007-01-19,01/22/07,2007-01-22,4458.98
BEG07 Index,2007-02-16,2007-02-16,02/19/07,2007-02-19,4531.3
BEH07 Index,2007-03-16,2007-03-16,03/19/07,2007-03-19,4256.03
BEJ07 Index,2007-04-20,2007-04-20,04/23/07,2007-04-23,4641.16
BEK07 Index,2007-05-18,2007-05-18,05/21/07,2007-05-21,4732.35
BEM07 Index,2007-06-15,2007-06-15,06/18/07,2007-06-18,4633.07
BEN07 Index,2007-07-20,2007-07-20,07/23/07,2007-07-23,4610.56
BEQ07 Index,2007-08-17,2007-08-17,08/20/07,2007-08-20,4120.05
BEU07 Index,2007-09-21,2007-09-21,09/24/07,2007-09-24,4361.95
BEV07 Index,2007-10-19,2007-10-19,10/22/07,2007-10-22,4434.27
BEX07 Index,2007-11-16,2007-11-16,11/19/07,2007-11-19,4074.68
BEZ07 Index,2007-12-21,2007-12-21,12/24/07,2007-12-24,4112.68
BEF08 Index,2008-01-18,2008-01-18,01/21/08,2008-01-21,3757.22
BEG08 Index,2008-02-15,2008-02-15,02/18/08,2008-02-18,3668.17
BEH08 Index,2008-03-20,2008-03-20,03/25/08,2008-03-25,3621.43
BEJ08 Index,2008-04-18,2008-04-18,04/21/08,2008-04-21,3928.52
BEK08 Index,2008-05-16,2008-05-16,05/19/08,2008-05-19,3807.94
BEM08 Index,2008-06-20,2008-06-20,06/23/08,2008-06-23,3356.56
BEN08 Index,2008-07-18,2008-07-18,07/22/08,2008-07-22,3026.98
BEQ08 Index,2008-08-15,2008-08-15,08/18/08,2008-08-18,3071.15
BEU08 Index,2008-09-19,2008-09-19,09/22/08,2008-09-22,3029.23
BEV08 Index,2008-10-17,2008-10-17,10/20/08,2008-10-20,1945.3
BEX08 Index,2008-11-21,2008-11-21,11/24/08,2008-11-24,1835.4
BEZ08 Index,2008-12-19,2008-12-19,12/22/08,2008-12-22,1877.71
BEF09 Index,2009-01-16,2009-01-16,01/19/09,2009-01-19,1874.59
BEG09 Index,2009-02-20,2009-02-20,02/23/09,2009-02-23,1740.79
BEH09 Index,2009-03-20,2009-03-20,03/23/09,2009-03-23,1704.97
BEJ09 Index,2009-04-17,2009-04-17,04/20/09,2009-04-20,1920.11
BEK09 Index,2009-05-15,2009-05-15,05/18/09,2009-05-18,1986.24
BEM09 Index,2009-06-19,2009-06-19,06/22/09,2009-06-22,2004.93
BEN09 Index,2009-07-17,2009-07-17,07/20/09,2009-07-20,2084.75
BEQ09 Index,2009-08-21,2009-08-21,08/24/09,2009-08-24,2341.92
BEU09 Index,2009-09-18,2009-09-18,09/21/09,2009-09-21,2494.39
BEV09 Index,2009-10-16,2009-10-16,10/19/09,2009-10-19,2584.05
BEX09 Index,2009-11-20,2009-11-20,11/23/09,2009-11-23,2495.63
BEZ09 Index,2009-12-18,2009-12-18,12/21/09,2009-12-21,2466.1
BEF10 Index,2010-01-15,2010-01-15,01/18/10,2010-01-18,2560.32
BEG10 Index,2010-02-19,2010-02-19,02/22/10,2010-02-22,2514.47
BEH10 Index,2010-03-19,2010-03-19,03/22/10,2010-03-22,2644.84
BEJ10 Index,2010-04-16,2010-04-16,04/19/10,2010-04-19,2710.23
BEK10 Index,2010-05-21,2010-05-21,05/25/10,2010-05-25,2358.78
BEM10 Index,2010-06-18,2010-06-18,06/21/10,2010-06-21,2531.04
BEN10 Index,2010-07-16,2010-07-16,07/19/10,2010-07-19,2458.19
BEQ10 Index,2010-08-20,2010-08-20,08/23/10,2010-08-23,2453.45
BEU10 Index,2010-09-17,2010-09-17,09/20/10,2010-09-20,2574.75
BEV10 Index,2010-10-15,2010-10-15,10/18/10,2010-10-18,2660.23
BEX10 Index,2010-11-19,2010-11-19,11/22/10,2010-11-22,2651.62
BEZ10 Index,2010-12-17,2010-12-17,12/20/10,2010-12-20,2607.26
BEF11 Index,2011-01-21,2011-01-21,01/24/11,2011-01-24,2670.93
BEG11 Index,2011-02-18,2011-02-18,02/21/11,2011-02-21,2752.02
BEH11 Index,2011-03-18,2011-03-18,03/21/11,2011-03-21,2584.58
BEJ11 Index,2011-04-15,2011-04-15,04/18/11,2011-04-18,2698.99
BEK11 Index,2011-05-20,2011-05-20,05/23/11,2011-05-23,2724.8
BEM11 Index,2011-06-17,2011-06-17,06/20/11,2011-06-20,2562.84
BEN11 Index,2011-07-15,2011-07-15,07/18/11,2011-07-18,2432.96
BEQ11 Index,2011-08-19,2011-08-19,08/22/11,2011-08-22,2122.87
BEU11 Index,2011-09-16,2011-09-16,09/19/11,2011-09-19,2168.88
BEV11 Index,2011-10-21,2011-10-21,10/24/11,2011-10-24,2132.0
BEX11 Index,2011-11-18,2011-11-18,11/21/11,2011-11-21,2016.21
BEZ11 Index,2011-12-16,2011-12-16,12/19/11,2011-12-19,2004.34
BEF12 Index,2012-01-20,2012-01-20,01/23/12,2012-01-23,2194.64
BEG12 Index,2012-02-17,2012-02-17,02/20/12,2012-02-20,2283.12
