Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
PPU02 Index,2002-09-20,2002-09-20,09/23/02,2002-09-23,5505.0
PPV02 Index,2002-10-18,2002-10-18,10/21/02,2002-10-21,5281.0
PPX02 Index,2002-11-15,2002-11-15,11/18/02,2002-11-18,5700.0
PPZ02 Index,2002-12-20,2002-12-20,12/23/02,2002-12-23,5882.0
PPF03 Index,2003-01-17,2003-01-17,01/20/03,2003-01-20,5996.0
PPG03 Index,2003-02-21,2003-02-21,02/24/03,2003-02-24,5490.0
PPH03 Index,2003-03-21,2003-03-21,03/24/03,2003-03-24,5380.0
PPJ03 Index,2003-04-17,2003-04-17,04/23/03,2003-04-23,5440.0
PPK03 Index,2003-05-16,2003-05-16,05/19/03,2003-05-19,5639.0
PPM03 Index,2003-06-20,2003-06-20,06/23/03,2003-06-23,5848.0
PPN03 Index,2003-07-18,2003-07-18,07/21/03,2003-07-21,5823.0
PPQ03 Index,2003-08-14,2003-08-14,08/19/03,2003-08-19,5835.0
PPU03 Index,2003-09-19,2003-09-19,09/22/03,2003-09-22,6156.0
PPV03 Index,2003-10-17,2003-10-17,10/20/03,2003-10-20,6362.0
PPX03 Index,2003-11-21,2003-11-21,11/24/03,2003-11-24,6473.0
PPZ03 Index,2003-12-19,2003-12-19,12/22/03,2003-12-22,6685.0
PPF04 Index,2004-01-16,2004-01-16,01/19/04,2004-01-19,6956.0
PPG04 Index,2004-02-20,2004-02-20,02/23/04,2004-02-23,7496.0
PPH04 Index,2004-03-19,2004-03-19,03/22/04,2004-03-22,7576.0
PPJ04 Index,2004-04-16,2004-04-16,04/19/04,2004-04-19,
PPM04 Index,2004-06-18,2004-06-18,06/18/04,2004-06-18,7339.0
PPU04 Index,2004-09-17,2004-09-17,09/17/04,2004-09-17,7327.0
PPZ04 Index,2004-12-17,2004-12-17,12/17/04,2004-12-17,7538.0
PPH05 Index,2005-03-18,2005-03-18,03/18/05,2005-03-18,7778.0
PPM05 Index,2005-06-17,2005-06-17,06/17/05,2005-06-17,7518.0
PPU05 Index,2005-09-16,2005-09-16,09/16/05,2005-09-16,7915.0
PPZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,8314.0
PPH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,10063.0
PPM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,9275.0
PPU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,10033.0
PPZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,11057.0
PPH07 Index,2007-03-16,2007-03-16,03/19/07,2007-03-19,11412.0
PPM07 Index,2007-06-15,2007-06-15,06/18/07,2007-06-18,13223.0
PPU07 Index,2007-09-21,2007-09-21,09/24/07,2007-09-24,12160.0
PPZ07 Index,2007-12-21,2007-12-21,12/24/07,2007-12-24,13004.0
PPH08 Index,2008-03-20,2008-03-20,03/25/08,2008-03-25,10058.0
PPM08 Index,2008-06-20,2008-06-20,06/23/08,2008-06-23,9658.0
PPU08 Index,2008-09-19,2008-09-19,09/22/08,2008-09-22,8317.0
PPZ08 Index,2008-12-19,2008-12-19,12/22/08,2008-12-22,6212.0
PPH09 Index,2009-03-20,2009-03-20,03/23/09,2009-03-23,6147.0
PPM09 Index,2009-06-19,2009-06-19,06/22/09,2009-06-22,7082.0
PPU09 Index,2009-09-18,2009-09-18,09/21/09,2009-09-21,8426.0
PPZ09 Index,2009-12-18,2009-12-18,12/21/09,2009-12-21,8215.0
PPH10 Index,2010-03-19,2010-03-19,03/20/10,2010-03-20,8093.0
PPM10 Index,2010-06-18,2010-06-18,06/19/10,2010-06-19,
PPU10 Index,2010-09-17,2010-09-17,09/18/10,2010-09-18,
