Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
AJQ06 Index,2006-08-18,2006-08-18,08/18/06,2006-08-18,2143.78
AJU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,2129.52
AJV06 Index,2006-10-20,2006-10-20,10/20/06,2006-10-20,2268.64
AJX06 Index,2006-11-17,2006-11-17,11/17/06,2006-11-17,2403.67
AJZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,2369.46
AJF07 Index,2007-01-19,2007-01-19,01/19/07,2007-01-19,2546.86
AJG07 Index,2007-02-16,2007-02-16,02/16/07,2007-02-16,2573.81
AJH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,2417.49
AJM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,2607.58
AJU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,2672.14
AJZ07 Index,2007-12-21,2007-12-21,12/21/07,2007-12-21,2701.69
AJH08 Index,2008-03-21,2008-03-21,03/21/08,2008-03-21,
AJM08 Index,2008-06-20,2008-06-20,06/20/08,2008-06-20,1967.99
AJU08 Index,2008-09-19,2008-09-19,09/19/08,2008-09-19,1729.86
AJZ08 Index,2008-12-19,2008-12-19,12/19/08,2008-12-19,887.51
AJH09 Index,2009-03-20,2009-03-20,03/20/09,2009-03-20,822.49
AJJ09 Index,2009-04-16,2009-04-16,04/16/09,2009-04-16,
AJK09 Index,2009-05-15,2009-05-15,05/15/09,2009-05-15,
AJM09 Index,2009-06-19,2009-06-19,06/19/09,2009-06-19,1140.92
AJN09 Index,2009-07-17,2009-07-17,07/17/09,2009-07-17,
AJU09 Index,2009-09-18,2009-09-18,09/18/09,2009-09-18,1340.95
AJZ09 Index,2009-12-18,2009-12-18,12/18/09,2009-12-18,1112.8
AJH10 Index,2010-03-19,2010-03-19,03/19/10,2010-03-19,1003.46
AJM10 Index,2010-06-18,2010-06-18,06/18/10,2010-06-18,739.06
AJU10 Index,2010-09-17,2010-09-17,09/17/10,2010-09-17,761.82
AJZ10 Index,2010-12-17,2010-12-17,12/17/10,2010-12-17,708.87
AJH11 Index,2011-03-18,2011-03-18,03/18/11,2011-03-18,751.21
AJM11 Index,2011-06-17,2011-06-17,06/17/11,2011-06-17,559.21
AJU11 Index,2011-09-16,2011-09-16,09/16/11,2011-09-16,356.8
AJZ11 Index,2011-12-16,2011-12-16,12/16/11,2011-12-16,249.85
AJH12 Index,2012-03-16,2012-03-16,03/16/12,2012-03-16,299.04
AJM12 Index,2012-06-15,2012-06-15,06/15/12,2012-06-15,204.49
AJU12 Index,2012-09-21,2012-09-21,09/21/12,2012-09-21,281.52
AJZ12 Index,2012-12-21,2012-12-21,12/21/12,2012-12-21,302.21
AJH13 Index,2013-03-15,2013-03-15,03/15/13,2013-03-15,316.51
AJM13 Index,2013-06-21,2013-06-21,06/21/13,2013-06-21,284.71
AJN13 Index,2013-07-19,2013-07-19,07/19/13,2013-07-19,283.53
AJQ13 Index,2013-08-16,2013-08-16,08/16/13,2013-08-16,318.86
AJU13 Index,2013-09-20,2013-09-20,09/20/13,2013-09-20,337.83
AJV13 Index,2013-10-18,2013-10-18,10/18/13,2013-10-18,380.07
AJX13 Index,2013-11-15,2013-11-15,11/15/13,2013-11-15,377.17
AJZ13 Index,2013-12-20,2013-12-20,12/20/13,2013-12-20,376.56
AJF14 Index,2014-01-17,2014-01-17,01/17/14,2014-01-17,413.65
AJG14 Index,2014-02-21,2014-02-21,02/21/14,2014-02-21,400.74
AJH14 Index,2014-03-21,2014-03-21,03/21/14,2014-03-21,439.14
AJJ14 Index,2014-04-17,2014-04-17,04/17/14,2014-04-17,396.67
