Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
EOU09 Index,2009-09-18,2009-09-18,09/18/09,2009-09-18,315.13
EOV09 Index,2009-10-16,2009-10-16,10/16/09,2009-10-16,324.04
EOX09 Index,2009-11-20,2009-11-20,11/20/09,2009-11-20,310.87
EOZ09 Index,2009-12-18,2009-12-18,12/18/09,2009-12-18,326.64
EOF10 Index,2010-01-15,2010-01-15,01/15/10,2010-01-15,340.44
EOG10 Index,2010-02-19,2010-02-19,02/19/10,2010-02-19,323.51
EOH10 Index,2010-03-19,2010-03-19,03/19/10,2010-03-19,340.32
EOJ10 Index,2010-04-16,2010-04-16,04/16/10,2010-04-16,354.93
EOK10 Index,2010-05-21,2010-05-21,05/21/10,2010-05-21,308.59
EOM10 Index,2010-06-18,2010-06-18,06/18/10,2010-06-18,336.34
EON10 Index,2010-07-16,2010-07-16,07/16/10,2010-07-16,326.44
EOQ10 Index,2010-08-20,2010-08-20,08/20/10,2010-08-20,318.38
EOU10 Index,2010-09-17,2010-09-17,09/17/10,2010-09-17,336.53
EOV10 Index,2010-10-15,2010-10-15,10/15/10,2010-10-15,342.38
EOX10 Index,2010-11-19,2010-11-19,11/19/10,2010-11-19,342.71
EOZ10 Index,2010-12-17,2010-12-17,12/17/10,2010-12-17,352.26
EOF11 Index,2011-01-21,2011-01-21,01/21/11,2011-01-21,363.0
EOG11 Index,2011-02-18,2011-02-18,02/18/11,2011-02-18,373.77
EOH11 Index,2011-03-18,2011-03-18,03/18/11,2011-03-18,351.57
EOJ11 Index,2011-04-15,2011-04-15,04/15/11,2011-04-15,358.03
EOK11 Index,2011-05-20,2011-05-20,05/20/11,2011-05-20,348.52
EOM11 Index,2011-06-17,2011-06-17,06/17/11,2011-06-17,332.92
EON11 Index,2011-07-15,2011-07-15,07/15/11,2011-07-15,330.01
EOQ11 Index,2011-08-19,2011-08-19,08/19/11,2011-08-19,273.62
EOU11 Index,2011-09-16,2011-09-16,09/16/11,2011-09-16,282.92
EOV11 Index,2011-10-21,2011-10-21,10/21/11,2011-10-21,304.69
EOX11 Index,2011-11-18,2011-11-18,11/18/11,2011-11-18,288.57
EOZ11 Index,2011-12-16,2011-12-16,12/16/11,2011-12-16,294.87
EOF12 Index,2012-01-20,2012-01-20,01/20/12,2012-01-20,320.36
EOG12 Index,2012-02-17,2012-02-17,02/17/12,2012-02-17,329.62
EOH12 Index,2012-03-16,2012-03-16,03/16/12,2012-03-16,336.84
EOJ12 Index,2012-04-20,2012-04-20,04/20/12,2012-04-20,308.11
EOK12 Index,2012-05-18,2012-05-18,05/18/12,2012-05-18,289.22
EOM12 Index,2012-06-15,2012-06-15,06/15/12,2012-06-15,296.7
EON12 Index,2012-07-20,2012-07-20,07/20/12,2012-07-20,320.81
EOQ12 Index,2012-08-17,2012-08-17,08/17/12,2012-08-17,336.39
EOU12 Index,2012-09-21,2012-09-21,09/21/12,2012-09-21,334.35
EOV12 Index,2012-10-19,2012-10-19,10/19/12,2012-10-19,335.03
EOX12 Index,2012-11-16,2012-11-16,11/16/12,2012-11-16,321.86
EOZ12 Index,2012-12-21,2012-12-21,12/21/12,2012-12-21,343.55
EOF13 Index,2013-01-18,2013-01-18,01/18/13,2013-01-18,351.53
EOG13 Index,2013-02-15,2013-02-15,02/15/13,2013-02-15,345.45
EOH13 Index,2013-03-15,2013-03-15,03/15/13,2013-03-15,353.87
EOJ13 Index,2013-04-19,2013-04-19,04/19/13,2013-04-19,340.68
EOK13 Index,2013-05-17,2013-05-17,05/17/13,2013-05-17,368.05
EOM13 Index,2013-06-21,2013-06-21,06/21/13,2013-06-21,340.88
EON13 Index,2013-07-19,2013-07-19,07/19/13,2013-07-19,368.98
EOQ13 Index,2013-08-16,2013-08-16,08/16/13,2013-08-16,373.07
EOU13 Index,2013-09-20,2013-09-20,09/20/13,2013-09-20,382.36
EOV13 Index,2013-10-18,2013-10-18,10/18/13,2013-10-18,384.97
EOX13 Index,2013-11-15,2013-11-15,11/15/13,2013-11-15,394.98
EOZ13 Index,2013-12-20,2013-12-20,12/20/13,2013-12-20,391.04
EOF14 Index,2014-01-17,2014-01-17,01/17/14,2014-01-17,407.19
EOG14 Index,2014-02-21,2014-02-21,02/21/14,2014-02-21,399.7
