Ticker,Last Trade,First Notice,First Delivery,Last Delivery,Settle Price
CFZ05 Index,2005-12-16,2005-12-16,12/16/05,2005-12-16,4704.5
CFF06 Index,2006-01-20,2006-01-20,01/20/06,2006-01-20,4834.5
CFG06 Index,2006-02-17,2006-02-17,02/17/06,2006-02-17,4996.7
CFH06 Index,2006-03-17,2006-03-17,03/17/06,2006-03-17,5145.6
CFJ06 Index,2006-04-21,2006-04-21,04/21/06,2006-04-21,5245.8
CFK06 Index,2006-05-19,2006-05-19,05/19/06,2006-05-19,4948.0
CFM06 Index,2006-06-16,2006-06-16,06/16/06,2006-06-16,4723.4
CFN06 Index,2006-07-21,2006-07-21,07/21/06,2006-07-21,4830.1
CFQ06 Index,2006-08-18,2006-08-18,08/18/06,2006-08-18,5151.6
CFU06 Index,2006-09-15,2006-09-15,09/15/06,2006-09-15,5148.8
CFV06 Index,2006-10-20,2006-10-20,10/23/06,2006-10-23,5367.0
CFX06 Index,2006-11-17,2006-11-17,11/20/06,2006-11-20,5434.8
CFZ06 Index,2006-12-15,2006-12-15,12/15/06,2006-12-15,5538.0
CFF07 Index,2007-01-19,2007-01-19,01/22/07,2007-01-22,5584.2
CFG07 Index,2007-02-16,2007-02-16,02/19/07,2007-02-19,5717.1
CFH07 Index,2007-03-16,2007-03-16,03/16/07,2007-03-16,5386.1
CFJ07 Index,2007-04-20,2007-04-20,04/23/07,2007-04-23,5944.6
CFK07 Index,2007-05-18,2007-05-18,05/21/07,2007-05-21,6096.0
CFM07 Index,2007-06-15,2007-06-15,06/15/07,2007-06-15,6100.3
CFN07 Index,2007-07-20,2007-07-20,07/23/07,2007-07-23,5999.7
CFQ07 Index,2007-08-17,2007-08-17,08/20/07,2007-08-20,5404.5
CFU07 Index,2007-09-21,2007-09-21,09/21/07,2007-09-21,5692.1
CFV07 Index,2007-10-19,2007-10-19,10/22/07,2007-10-22,5749.0
CFX07 Index,2007-11-16,2007-11-16,11/19/07,2007-11-19,5533.2
CFZ07 Index,2007-12-21,2007-12-21,12/24/07,2007-12-24,5595.8
CFF08 Index,2008-01-18,2008-01-18,01/21/08,2008-01-21,5173.1
CFG08 Index,2008-02-15,2008-02-15,02/18/08,2008-02-18,4765.8
CFH08 Index,2008-03-20,2008-03-20,03/20/08,2008-03-20,4533.8
CFJ08 Index,2008-04-18,2008-04-18,04/21/08,2008-04-21,4959.0
CFK08 Index,2008-05-16,2008-05-16,05/19/08,2008-05-19,5111.2
CFM08 Index,2008-06-20,2008-06-20,06/23/08,2008-06-23,4500.6
