DATE,STU04 Index,STZ04 Index,STH05 Index,STM05 Index,STU05 Index,STZ05 Index,STH06 Index,STM06 Index,STU06 Index,STZ06 Index,STH07 Index,STM07 Index,STU07 Index,STZ07 Index,STH08 Index,STM08 Index,STU08 Index,STZ08 Index,STH09 Index,STM09 Index,STU09 Index,STZ09 Index,STH10 Index,STM10 Index,STU10 Index,STZ10 Index,STH11 Index,STM11 Index,STU11 Index,STZ11 Index,STH12 Index,STM12 Index,STU12 Index,STZ12 Index,STH13 Index,STM13 Index,STU13 Index,STZ13 Index,STH14 Index,STM14 Index,STU14 Index,STZ14 Index,STH15 Index,STM15 Index,STU15 Index,STZ15 Index,STH16 Index,STM16 Index,STU16 Index,STZ16 Index,STH17 Index,STM17 Index,STU17 Index,STZ17 Index,STH18 Index,STM18 Index,STU18 Index,STZ18 Index,STH19 Index,STM19 Index,STU19 Index,STZ19 Index,STH20 Index,STM20 Index,STU20 Index,STZ20 Index,STH21 Index,STM21 Index,STU21 Index,STZ21 Index,STH22 Index,STM22 Index,STU22 Index,STZ22 Index,STH23 Index,STM23 Index,STU23 Index,STZ23 Index,STH24 Index,STM4 Index,STU4 Index,STZ4 Index,STH5 Index,STM5 Index,STU5 Index,STZ5 Index,STH6 Index
2004-06-28,28450,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28450,29145.0,,,,,
2004-06-29,28500,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28500,29145.0,,,,,
2004-06-30,28375,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28375,29145.0,,,,,
2004-07-01,28140,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28140,29145.0,,,,,
2004-07-02,28140,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28140,29145.0,,,,,
2004-07-05,28090,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28090,29145.0,,,,,
2004-07-06,28040,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28040,29145.0,,,,,
2004-07-07,27940,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27940,29145.0,,,,,
2004-07-08,28140,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28140,29145.0,,,,,
2004-07-09,28145,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28145,29145.0,,,,,
2004-07-12,28145,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28145,29145.0,,,,,
2004-07-13,27915,29145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27915,29145.0,,,,,
2004-07-14,27760,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27760,27900.0,,,,,
2004-07-15,27720,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27720,27900.0,,,,,
2004-07-16,27670,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27670,27900.0,,,,,
2004-07-19,27590,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27590,27900.0,,,,,
2004-07-20,27520,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27520,27900.0,,,,,
2004-07-21,27690,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27690,27900.0,,,,,
2004-07-22,27330,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27330,27900.0,,,,,
2004-07-23,27370,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27370,27900.0,,,,,
2004-07-26,26990,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26990,27900.0,,,,,
2004-07-27,27250,27900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27250,27900.0,,,,,
2004-07-28,27130,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27130,27545.0,,,,,
2004-07-29,27480,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27480,27545.0,,,,,
2004-07-30,27750,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27750,27545.0,,,,,
2004-08-02,27565,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27565,27545.0,,,,,
2004-08-03,27630,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27630,27545.0,,,,,
2004-08-04,27320,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27320,27545.0,,,,,
2004-08-05,27345,27545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27345,27545.0,,,,,
2004-08-06,26700,27215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26700,27215.0,,,,,
2004-08-09,26625,27215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26625,27215.0,,,,,
2004-08-10,26640,27215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26640,27215.0,,,,,
