Date,DAX Notional Value,Amsterdam Index Notional Value,CAC40 Notional Value,PSI-20 Notional Value,IBEX-35 Notional Value,FTSE/Athens Notional Value,BEL-20 Notional Value,FTSE/MIB Notional Value,Gold Notional Value,Silver Notional Value
2024-02-16,11938751.710466158,1257307.6461344874,11614880.49816512,8966740.438995015,17760457.514445312,4477861.940369286,5511728.196845137,53341067.07985146,1791030.483678255,101654.73547853345
2024-02-19,11919977.901719356,1253827.189503295,11614880.49816512,9030191.15937388,17870441.588211015,4537877.22783725,5502790.259228631,53222151.7394009,1791030.483678255,101654.73547853345
2024-02-20,11908157.35547137,1242654.6312418212,11652891.208214298,9001349.922838032,18036313.334639423,4547387.847162774,5478210.930783241,53270722.79395113,1805276.8111646345,100210.51742680975
2024-02-21,11932493.774217224,1240402.571068697,11676741.065500058,9034517.344854256,18150417.33299244,4524759.132215836,5490128.180938582,53781556.29870354,1800646.754731561,99104.58468449881
2024-02-22,12113973.925436309,1257044.4183220442,11822076.133335158,8940220.922000302,18212574.4561141,4527710.703730654,5517686.821922807,54364408.95330629,1798331.7265150247,98731.60344591552
2024-02-23,12140396.322931807,1253139.8724374715,11904060.017754959,9021538.788413126,18192691.341801405,4504426.084002647,5534073.040886401,54888641.36965876,1814884.0672281976,99589.61158681664
2024-02-26,12147349.585430622,1249937.2673860805,11847416.606701279,8927804.76967162,18209529.294462606,4498522.940973011,5499066.118555088,54687657.69565781,1805717.9860805802,97613.59283807465
2024-02-27,12238437.324165106,1250010.38622287,11874247.696147759,8985487.242743315,18165643.141249906,4511968.988984959,5516197.16565339,54895340.82545879,1810434.5132730436,97639.59308476862
2024-02-28,12262078.416661078,1241791.828967702,11881700.77654956,8945109.51159313,18067302.332622264,4488028.46447588,5520666.134461642,54751302.52575811,1809188.6381656004,97110.92140199117
2024-02-29,12340650.282897692,1242727.7500786108,11836982.29413876,8893195.285828603,17961617.310599845,4543780.370866885,5462569.539954356,54650810.688757636,1820490.5052116914,98220.26526093404
2024-03-01,12351775.502895797,1250917.059799063,11845180.68258074,8952319.820727091,18035775.95317151,4541484.704133138,5517686.821922807,55218589.56781031,1857154.8298021602,100317.6184942479
2024-03-04,12337173.651648285,1254280.5262913918,11876483.620268298,8914826.213230489,18059778.992071517,4580838.990997377,5476721.274513823,55193466.6085602,1884564.0821659083,103043.31102266612
2024-03-05,12320485.821651127,1246383.6919180984,11840708.83433966,8930688.893325206,18139490.576478258,4563785.46668954,5462569.539954356,55578685.31706201,1898624.6726641948,102973.97703148221
2024-03-06,12331611.041649232,1254850.8532183517,11871266.46398704,8953761.882553883,18292465.167676806,4555914.609316692,5509493.71244101,55962229.16161382,1913575.1739535125,105179.66462602095
2024-03-07,12432433.347882057,1271551.1955411308,11959958.12076846,8937899.202459168,18526226.106217917,4526398.894168513,5543010.978502907,56012475.08011406,1920427.4870444494,105604.33532202253
2024-03-08,12397667.03538798,1261490.0435988612,11974118.97353188,8883100.853041057,18485026.86034477,4539844.942180461,5566100.65067888,55997401.304563984,1938759.6493396836,105470.00071410365
2024-03-11,12348298.87164639,1247261.1179595755,11962194.044889,8884542.91486785,18507238.627685074,4431620.653303805,5575783.416430094,55870111.64436339,1942230.3014247038,106219.6744937799
2024-03-12,12501965.972870212,1259735.191515907,12061320.01423294,8860027.86381238,18630298.983836602,4424733.653102563,5587700.666585435,56563505.319666654,1922563.2729429232,104841.6614189993
2024-03-13,12498544.71350486,1258670.8688768705,12135639.565740937,8845221.667515902,18957714.435271353,4429313.784055867,5555050.091641244,56830707.67667546,1935911.9348083853,108156.69287248093
2024-03-14,12471174.638582041,1255973.6128738332,12168340.168404456,8763787.587885272,18799403.66754466,4495725.682878775,5500137.7610532865,56633284.279140286,1924877.0409996032,107788.3560443163
2024-03-15,12481438.416678099,1245826.098397541,12169826.559434615,8874834.060108857,19027155.29475147,4496707.139511625,5487522.766188485,56881765.45190007,1919804.549490728,109201.03611468886
2024-03-18,12469806.1348359,1248217.1793948282,12144557.911921896,8928136.366776178,18982360.543428805,4496707.139511625,5469713.3616734715,56926015.5237614,1922830.2461802324,108728.69829974834
2024-03-19,12504702.980362494,1258277.215298049,12221850.245490214,8855586.004923435,19190503.223269463,4429640.936266817,5480844.239495355,57479141.422028035,1918914.638699697,108178.3597447259
2024-03-20,12517703.765950833,1257927.301005763,12172056.145979855,8897043.354553573,19255806.414956726,4473479.332534155,5486780.707667026,57506372.235481165,1920338.4959653465,108044.02513680705
2024-03-21,12625815.561895963,1279330.3918839195,12195095.206947334,8926655.74714653,19489854.493152663,4525496.53407525,5638902.704566099,57554026.159024134,1942141.3103456008,107680.02168309141
2024-03-22,12653869.888691852,1280598.831193456,12152733.062587777,8999206.108999271,19613624.729738988,4525496.53407525,5661906.518731324,57562535.788228236,1920183.6546649416,106970.26228612075
2024-03-25,12690135.237964585,1281604.834783778,12151246.671557616,8953306.90048019,19619021.687729668,4525496.53407525,5671553.279510289,58057796.207906984,1934762.8268577682,107165.01334016758
2024-03-26,12779087.981463745,1283194.0288612433,12198067.989007656,8978477.434184203,19697817.274393637,4486892.5731831165,5664874.7528171595,58137786.72242554,1935474.0059891252,106031.12942549495
2024-03-27,12825617.108832536,1283689.740775315,12223336.636520375,9056950.274555534,19907399.143031813,4467917.744948001,5701977.678890104,58224584.94030738,1947386.2564393617,106572.10457562502
